index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Log_Loss,Num_Forecasts
10,Deter,Logit_L2,0.5821,0.0953,0.0325,0.0408,0.0862,0.8847,0.3263,420
9,Deter,Logit_L1,0.5333,0.0959,0.0287,0.0373,0.0862,0.8788,0.3142,420
13,Deter_States,Logit_L1,0.4134,0.1149,0.018,0.0463,0.0862,0.7783,0.3704,420
18,Deter_PCA,Logit_L2,0.4042,0.1057,0.0221,0.0411,0.0862,0.868,0.3639,420
14,Deter_States,Logit_L2,0.3982,0.0875,0.0168,0.0196,0.0862,0.8256,0.2981,420
17,Deter_PCA,Logit_L1,0.3943,0.1648,0.0171,0.0964,0.0862,0.8575,0.5134,420
3,Full,XGBoost,0.3515,0.098,0.0218,0.0337,0.0862,0.822,0.399,420
16,Deter_PCA,Logit,0.3238,0.1134,0.0157,0.0416,0.0862,0.8227,0.3761,420
21,Deter_Avg,Logit_L1,0.3225,0.176,0.0092,0.1009,0.0862,0.8239,0.5279,420
20,Deter_Avg,Logit,0.3174,0.1398,0.0103,0.0649,0.0862,0.7739,0.4347,420
19,Deter_PCA,XGBoost,0.3151,0.0855,0.0184,0.0179,0.0862,0.7283,0.4131,420
6,PCA_Factors_8,Logit_L2,0.3139,0.1083,0.0143,0.0367,0.0862,0.8426,0.3702,420
8,Deter,Logit,0.305,0.1151,0.0121,0.0417,0.0862,0.8178,0.3838,420
12,Deter_States,Logit,0.2944,0.1154,0.0064,0.0363,0.0862,0.7732,1.0752,420
22,Deter_Avg,Logit_L2,0.2764,0.1672,0.0104,0.0912,0.0862,0.81,0.514,420
11,Deter,XGBoost,0.2739,0.1003,0.0165,0.0314,0.0862,0.8043,0.4507,420
15,Deter_States,XGBoost,0.2692,0.0992,0.0122,0.0254,0.0862,0.778,0.4355,420
5,PCA_Factors_8,Logit_L1,0.2335,0.1124,0.0162,0.0433,0.0862,0.7891,0.4475,420
4,PCA_Factors_8,Logit,0.2164,0.1195,0.0102,0.043,0.0862,0.7714,0.5364,420
7,PCA_Factors_8,XGBoost,0.2052,0.1059,0.0095,0.0304,0.0862,0.7453,0.4742,420
23,Deter_Avg,XGBoost,0.1993,0.1006,0.0036,0.0201,0.0862,0.7276,0.4493,420
2,Full,Logit_L2,0.17,0.1212,0.0112,0.046,0.0862,0.7527,0.3783,420
1,Full,Logit_L1,0.1051,0.2054,0.0054,0.1245,0.0862,0.566,0.8195,420
0,Full,Logit,0.105,0.3405,0.0028,0.2569,0.0862,0.5516,5.1782,420
